Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
2010-02-05,992237.0689473683,0,32.90078947368421,2.7098684210526316,169.61185725526315,8.572210526315791
2010-02-12,1003684.2143589744,1,33.55820512820513,2.6925641025641025,170.02265592820513,8.582974358974358
2010-02-19,993375.3578378379,0,36.95486486486486,2.6675945945945942,168.61788002972972,8.626432432432432
2010-02-26,1001111.3665853658,0,38.972926829268296,2.6821951219512195,168.50915541219513,8.636024390243902
2010-03-05,1041243.849,0,42.84225,2.729175,167.6491319525,8.64725
2010-03-12,1028568.5007142858,0,47.441428571428574,2.7769285714285714,167.58684801428572,8.671238095238095
2010-03-19,1026565.5853658536,0,49.673170731707316,2.813878048780488,168.5318788170732,8.636024390243902
2010-03-26,1006612.403902439,0,48.02219512195122,2.8219512195121954,168.46180530487806,8.636024390243902
2010-04-02,988126.9921621622,0,53.156216216216215,2.810756756756757,170.5939257972973,8.48464864864865
2010-04-09,1043003.4386046511,0,58.709534883720934,2.8521627906976743,168.34799484186047,8.50060465116279
2010-04-16,1028468.0829268292,0,57.76926829268292,2.8847317073170733,168.26783669512196,8.517365853658536
2010-04-23,1018680.9234146341,0,56.66292682926829,2.8779268292682927,168.2356842,8.517365853658536
2010-04-30,994516.8992682926,0,57.589268292682924,2.887121951219512,168.20353170487806,8.517365853658536
2010-05-07,1040727.2561904761,0,64.37428571428572,2.9298571428571427,167.34751965,8.515952380952381
2010-05-14,1014693.3185714287,0,60.67214285714286,2.94802380952381,167.1627310952381,8.549071428571429
2010-05-21,1028023.8029268293,0,65.93878048780488,2.920268292682927,168.28616920243903,8.517365853658536
2010-05-28,1046176.2953658537,0,70.70463414634146,2.8591463414634144,168.58902024390244,8.483439024390243
2010-06-04,1048159.6912820513,0,73.15461538461538,2.7994615384615384,168.46725486410256,8.501615384615384
2010-06-11,1045927.4824390244,0,74.9080487804878,2.7894146341463415,166.74383560731707,8.565975609756098
2010-06-18,1041844.3065853659,0,73.6409756097561,2.7568536585365857,168.85077764878048,8.483439024390243
2010-06-25,1061461.754390244,0,78.4619512195122,2.786390243902439,168.63850152439025,8.517365853658536
2010-07-02,1089122.55225,0,76.664,2.790425,167.7088031725,8.480525
2010-07-09,1040055.5333333332,0,78.44820512820513,2.7743333333333333,168.47940954871794,8.493307692307692
2010-07-16,1054996.8980487804,0,79.96658536585366,2.759609756097561,168.58302324390243,8.457268292682926
2010-07-23,1049254.5716666665,0,80.66499999999999,2.758166666666667,168.97894759761905,8.464071428571428
2010-07-30,1019256.6614634146,0,78.73073170731708,2.762560975609756,168.7225772585366,8.457268292682926
2010-08-06,1100549.9551219512,0,79.58,2.771682926829268,168.79235426829268,8.457268292682926
2010-08-13,1037438.4550000001,0,79.1095,2.8036000000000003,167.9623501025,8.480525
2010-08-20,1078081.6887804877,0,79.00829268292684,2.779390243902439,168.8625641609756,8.457268292682926
2010-08-27,1073905.5814285714,0,76.1147619047619,2.758309523809524,169.19031629285715,8.464071428571428
2010-09-03,1033093.8195121952,0,76.32926829268293,2.732609756097561,169.0421752902439,8.432121951219512
2010-09-10,1038531.877804878,1,72.0,2.7162439024390244,168.86386275853658,8.457268292682926
2010-09-17,1006488.7273809523,0,70.64214285714286,2.728666666666667,169.2187355952381,8.464071428571428
2010-09-24,965526.005,0,70.49166666666667,2.7334761904761904,169.26729210238096,8.464071428571428
2010-10-01,986482.1645238094,0,69.35166666666666,2.7282857142857146,169.31584865714285,8.517738095238096
2010-10-08,1002860.457,0,61.575,2.755575,168.1397258475,8.538425
2010-10-15,1008294.069047619,0,60.41357142857142,2.832357142857143,169.41341368809523,8.517738095238096
2010-10-22,1006604.6435714286,0,58.54380952380953,2.850142857142857,169.46355212380954,8.517738095238096
2010-10-29,1019637.2221428572,0,58.96,2.8537857142857144,169.51369053095237,8.517738095238096
